region,year,events,fatalities,post2015,light_mean,cropl_mean,taux_chomage,nbr_site,taux_site,gold_avg_pre2015,gold_avg_post2015,density_hab_km2,hdi_2017,terror_pre2015,terror_post2015,gold_sites
Boucle du Mouhoun,2000,0,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2001,0,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2002,0,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2003,0,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2004,0,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2005,0,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2006,1,9,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2007,0,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2008,0,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2009,0,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2010,0,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2011,5,2,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2012,7,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2013,3,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2014,3,0,0,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,3.3
Boucle du Mouhoun,2015,1,0,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Boucle du Mouhoun,2016,2,0,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Boucle du Mouhoun,2017,9,6,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Boucle du Mouhoun,2018,23,17,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Boucle du Mouhoun,2019,44,71,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Boucle du Mouhoun,2020,54,141,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Boucle du Mouhoun,2021,154,59,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Boucle du Mouhoun,2022,296,338,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Boucle du Mouhoun,2023,299,915,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Boucle du Mouhoun,2024,360,1276,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Boucle du Mouhoun,2025,193,928,1,0.939808962,0.119865596,3.5,700,3.2,3.3,22,51.51224744180654,0.393,7,278,22
Cascades,2000,0,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2001,1,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2002,0,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2003,0,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2004,0,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2005,0,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2006,0,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2007,0,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2008,1,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2009,0,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2010,0,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2011,4,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2012,2,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2013,2,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2014,6,0,0,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,14.9
Cascades,2015,9,3,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Cascades,2016,4,0,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Cascades,2017,5,0,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Cascades,2018,6,0,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Cascades,2019,22,23,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Cascades,2020,18,15,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Cascades,2021,75,75,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Cascades,2022,86,97,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Cascades,2023,79,233,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Cascades,2024,48,212,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Cascades,2025,30,106,1,1.234697131,0.05455128,3.6,260,9.45,14.9,25,38.68172941304112,0.432,0,120,25
Centre,2000,18,0,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2001,5,0,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2002,2,21,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2003,1,1,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2004,1,0,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2005,6,0,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2006,5,5,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2007,1,0,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2008,3,0,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2009,1,0,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2010,4,0,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2011,42,2,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2012,16,0,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2013,22,4,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2014,66,23,0,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2015,61,11,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2016,40,34,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2017,46,21,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2018,48,24,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2019,65,14,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2020,41,3,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2021,44,2,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2022,77,11,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2023,42,5,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2024,26,0,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre,2025,17,0,1,3.928457027,0.231835439,9.5,13,0,0,0,1057.5069518716577,0.612,35,72,0
Centre-Est,2000,0,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2001,0,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2002,0,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2003,0,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2004,2,5,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2005,0,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2006,0,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2007,0,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2008,0,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2009,0,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2010,0,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2011,6,0,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2012,4,7,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2013,2,4,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2014,6,1,0,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,9.3
Centre-Est,2015,5,0,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Est,2016,7,2,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Est,2017,11,3,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Est,2018,11,2,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Est,2019,23,31,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Est,2020,9,6,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Est,2021,23,12,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Est,2022,151,181,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Est,2023,206,838,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Est,2024,164,622,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Est,2025,119,330,1,1.018026681,0.229933238,8.2,375,4.09,9.3,17,97.03059143439837,0.418,17,67,17
Centre-Nord,2000,0,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2001,0,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2002,2,42,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2003,0,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2004,0,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2005,0,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2006,1,1,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2007,0,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2008,0,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2009,0,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2010,0,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2011,8,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2012,5,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2013,1,0,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2014,6,1,0,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,35.9
Centre-Nord,2015,2,0,1,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,113
Centre-Nord,2016,8,1,1,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,113
Centre-Nord,2017,6,0,1,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,113
Centre-Nord,2018,14,1,1,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,113
Centre-Nord,2019,140,421,1,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,113
Centre-Nord,2020,91,269,1,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,113
Centre-Nord,2021,226,228,1,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,113
Centre-Nord,2022,444,826,1,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,113
Centre-Nord,2023,353,1448,1,0.082535558,0.195816293,8.9,1182,17.88,35.9,113,74.0816179990426,0.383,13,645,113
