Id,NAME_1,light_coun,light_sum,light_mean,cropl_coun,cropl_sum,cropl_mean,taux_chomage,nbr_site,taux_site
1,Boucle du Mouhoun,41388,38896.81332,0.939808962,410,49.14489419,0.119865596,3.5,700,3.2
2,Cascades,22068,27247.29628,1.234697131,225,12.27403803,0.05455128,3.6,260,9.45
3,Centre,3433,13486.39298,3.928457027,35,8.114240363,0.231835439,9.5,13,0
4,Centre-Est,17535,17851.09785,1.018026681,176,40.46824987,0.229933238,8.2,375,4.09
5,Centre-Nord,23627,1950.067623,0.082535558,233,45.62519632,0.195816293,8.9,1182,17.88
6,Centre-Ouest,26041,27369.02136,1.050997326,255,40.025186,0.156961514,4.4,67,1.62
7,Centre-Sud,13765,14144.88617,1.027597978,138,24.04887389,0.174267202,6,29,2.5
8,Est,55734,37824.36906,0.678658791,558,68.50159326,0.122762712,5.7,1649,16.38
9,Haut-Bassins,30550,45882.59337,1.501885217,307,27.7651322,0.09044017,5.7,156,8.64
10,Nord,19729,2870.824402,0.14551292,203,41.46487204,0.204260453,11.9,856,10.46
11,Plateau-Central,10313,3290.094864,0.319024034,103,22.37776666,0.217259871,9.3,3,2.81
12,Sahel,43588,2664.574156,0.061130911,431,118.6995228,0.275404925,17.1,2395,5.48
13,Sud-Ouest,19444,21410.41661,1.101132308,194,9.690363079,0.049950325,3.1,106,17.44
